DateTime	vib
2020/10/8 10:57	0.146
2020/10/8 10:57	0.219
2020/10/8 10:57	0.158
2020/10/8 10:57	1.757
2020/10/8 10:59	0.365
2020/10/8 10:59	0.64
2020/10/8 10:59	0.188
2020/10/8 10:59	0.036
2020/10/8 10:59	0.03
2020/10/8 10:59	0.31
2020/10/8 10:59	0.097
2020/10/8 10:59	0.316
2020/10/8 10:59	0.158
2020/10/8 10:59	0.213
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	0.066
2020/10/8 10:59	0.036
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	0.03
2020/10/8 10:59	1.513
2020/10/8 11:01	0.28
2020/10/8 11:01	0.28
2020/10/8 11:01	0.03
2020/10/8 11:01	0.03
2020/10/8 11:01	0.03
2020/10/8 11:01	0.103
2020/10/8 11:01	0.31
2020/10/8 11:01	0.054
2020/10/8 11:01	0.201
2020/10/8 11:02	0.176
2020/10/8 11:02	0.121
2020/10/8 11:02	0.06
2020/10/8 11:02	0.06
2020/10/8 11:02	0.091
2020/10/8 11:02	0.219
2020/10/8 11:02	0.06
2020/10/8 11:02	0.176
2020/10/8 11:02	0.109
2020/10/8 11:02	0.03
2020/10/8 11:02	0.03
2020/10/8 11:02	0.078
2020/10/8 11:02	0.176
2020/10/8 11:02	0.164
2020/10/8 11:02	0.085
2020/10/8 11:02	0.03
2020/10/8 11:02	0.03
2020/10/8 11:02	0.03
2020/10/8 11:02	0.03
2020/10/8 11:02	0.03
2020/10/8 11:02	0.219
2020/10/8 11:03	0.036
2020/10/8 11:03	0.072
2020/10/8 11:03	0.03
2020/10/8 11:03	0.03
2020/10/8 11:03	0.036
2020/10/8 11:03	0.176
2020/10/8 11:04	0.188
2020/10/8 11:04	0.188
2020/10/8 11:04	0.432
2020/10/8 11:04	0.182
2020/10/8 11:04	0.097
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.054
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.03
2020/10/8 11:04	0.555
2020/10/8 11:06	0.548
2020/10/8 11:06	2.19
2020/10/8 11:06	0.5
2020/10/8 11:06	0.255
2020/10/8 11:06	0.347
2020/10/8 11:06	0.298
2020/10/8 11:06	0.249
2020/10/8 11:06	0.384
2020/10/8 11:06	0.384
2020/10/8 11:06	0.164
2020/10/8 11:06	0.06
2020/10/8 11:06	0.249
2020/10/8 11:06	0.42
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:06	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:07	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:08	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:09	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
2020/10/8 11:10	0.176
